code,name,iso_code
11,Aceh,ID-AC
12,Sumatera Utara,ID-SU
13,Sumatera Barat,ID-SB
14,Riau,ID-RI
15,Jambi,ID-JA
16,Sumatera Selatan,ID-SS
17,Bengkulu,ID-BE
18,Lampung,ID-LA
19,Kepulauan Bangka Belitung,ID-BB
21,Kepulauan Riau,ID-KR
31,DKI Jakarta,ID-JK
32,Jawa Barat,ID-JB
33,Jawa Tengah,ID-JT
34,DI Yogyakarta,ID-YO
35,Jawa Timur,ID-JI
36,Banten,ID-BT
51,Bali,ID-BA
52,Nusa Tenggara Barat,ID-NB
53,Nusa Tenggara Timur,ID-NT
61,Kalimantan Barat,ID-KB
62,Kalimantan Tengah,ID-KT
63,Kalimantan Selatan,ID-KS
64,Kalimantan Timur,ID-KI
65,Kalimantan Utara,ID-KU
71,Sulawesi Utara,ID-SA
72,Sulawesi Tengah,ID-ST
73,Sulawesi Selatan,ID-SN
74,Sulawesi Tenggara,ID-SG
75,Gorontalo,ID-GO
76,Sulawesi Barat,ID-SR
81,Maluku,ID-MA
82,Maluku Utara,ID-MU
91,Papua,ID-PA
92,Papua Barat,ID-PB
93,Papua Selatan,ID-PS
94,Papua Tengah,ID-PT
95,Papua Pegunungan,ID-PE
96,Papua Barat Daya,ID-PD
