province_code,regency_count,city_count,district_count,urban_village_count,rural_village_count,village_count,area_km2,island_count,source_page
11,18,5,290,0,6.500,,"56.835,019",365,16
12,25,8,455,693,5.417,,"72.437,755",228,16
13,12,7,179,230,1.035,,"42.107,674",219,16
14,10,2,172,271,1.591,,"89.900,780",144,16
15,9,2,144,171,1.414,,"49.023,037",14,16
16,13,4,241,403,2.856,,"86.771,918",24,16
17,9,1,129,172,1.341,,"20.122,210",9,16
18,13,2,229,205,2.446,,"33.570,758",172,16
19,6,1,47,84,309,,"16.670,225",501,16
21,5,2,80,144,275,,"8.170,375","2,028",16
31,1,5,44,267,0,,"661,530",113,16
32,18,9,627,646,5.311,,"37.053,331",30,16
33,29,6,576,753,7.810,,"34.347,428",71,16
34,4,1,78,46,392,,"3.170,363",37,16
35,29,9,666,773,7.721,,"48.055,876",538,16
36,4,4,155,314,1.238,,"9.355,763",80,16
51,8,1,57,80,636,,"5.582,827",41,16
52,8,2,117,145,1.021,,"19.631,991",430,16
53,21,1,315,305,3.137,,"46.378,105",653,16
61,12,2,174,99,2.046,,"147.018,063",260,16
62,13,1,136,139,1.432,,"153.430,363",71,16
63,11,2,156,144,1.872,,"37.125,426",165,16
64,7,3,105,197,841,,"126.951,758",244,17
65,4,1,55,35,447,,"69.900,886",196,17
71,11,4,171,332,1.507,,"14.488,429",382,17
72,12,1,177,175,1.842,,"61.496,983","1,600",17
73,21,3,313,793,2.266,,"45.323,975",394,17
74,15,2,221,377,1.908,,"36.139,303",591,17
75,5,1,77,72,657,,"12.024,982",127,17
76,6,0,69,73,575,,"16.590,667",69,17
81,9,2,119,35,1.200,,"46.133,832","1,422",17
82,8,2,118,118,1.067,,"31.465,977",975,17
91,8,1,105,51,948,,"81.383,315",544,17
92,7,0,91,21,803,,"60.308,590","1,498",17
93,4,0,82,13,677,,"117.858,969",7,17
94,8,0,131,36,1.172,,"61.079,587",50,17
95,8,0,252,10,2.617,,"52.508,656",0,17
96,5,1,132,74,939,,"39.103,058","3,082",17
